"ID";"KenmerkenBaanWerknemer";"Perioden";"BeloningsverschilTussenManEnVrouw_1"
"0";"10000";"2008JJ00";"    79.9"
"1";"10000";"2009JJ00";"    80.2"
"2";"10000";"2010JJ00";"    81.3"
"3";"10000";"2011JJ00";"    81.5"
"4";"10000";"2012JJ00";"    82.4"
"5";"10000";"2013JJ00";"    83.4"
"6";"10000";"2014JJ00";"    83.9"
"7";"10000";"2015JJ00";"    84.0"
"8";"10100";"2008JJ00";"    88.8"
"9";"10100";"2009JJ00";"    93.6"
"10";"10100";"2010JJ00";"    94.2"
"11";"10100";"2011JJ00";"    94.1"
"12";"10100";"2012JJ00";"    93.7"
"13";"10100";"2013JJ00";"    94.4"
"14";"10100";"2014JJ00";"    96.7"
"15";"10100";"2015JJ00";"    98.1"
"16";"10110";"2008JJ00";"   102.4"
"17";"10110";"2009JJ00";"   102.4"
"18";"10110";"2010JJ00";"   101.7"
"19";"10110";"2011JJ00";"   102.3"
"20";"10110";"2012JJ00";"   103.5"
"21";"10110";"2013JJ00";"   104.6"
"22";"10110";"2014JJ00";"   107.3"
"23";"10110";"2015JJ00";"   107.8"
"24";"10120";"2008JJ00";"   100.8"
"25";"10120";"2009JJ00";"   101.2"
"26";"10120";"2010JJ00";"   102.9"
"27";"10120";"2011JJ00";"   103.1"
"28";"10120";"2012JJ00";"   105.1"
"29";"10120";"2013JJ00";"   106.9"
"30";"10120";"2014JJ00";"   108.5"
"31";"10120";"2015JJ00";"   110.3"
"32";"10130";"2008JJ00";"    92.9"
"33";"10130";"2009JJ00";"    93.9"
"34";"10130";"2010JJ00";"    95.9"
"35";"10130";"2011JJ00";"    94.5"
"36";"10130";"2012JJ00";"    95.9"
"37";"10130";"2013JJ00";"    99.1"
"38";"10130";"2014JJ00";"   103.3"
"39";"10130";"2015JJ00";"   104.3"
"40";"10140";"2008JJ00";"    87.3"
"41";"10140";"2009JJ00";"    87.8"
"42";"10140";"2010JJ00";"    89.0"
"43";"10140";"2011JJ00";"    89.4"
"44";"10140";"2012JJ00";"    90.8"
"45";"10140";"2013JJ00";"    91.8"
"46";"10140";"2014JJ00";"    93.0"
"47";"10140";"2015JJ00";"    93.3"
"48";"10150";"2008JJ00";"    79.8"
"49";"10150";"2009JJ00";"    80.6"
"50";"10150";"2010JJ00";"    82.0"
"51";"10150";"2011JJ00";"    82.4"
"52";"10150";"2012JJ00";"    83.5"
"53";"10150";"2013JJ00";"    84.8"
"54";"10150";"2014JJ00";"    85.6"
"55";"10150";"2015JJ00";"    86.1"
"56";"10650";"2008JJ00";"    69.4"
"57";"10650";"2009JJ00";"    69.7"
"58";"10650";"2010JJ00";"    71.8"
"59";"10650";"2011JJ00";"    70.7"
"60";"10650";"2012JJ00";"    71.9"
"61";"10650";"2013JJ00";"    72.6"
"62";"10650";"2014JJ00";"    72.5"
"63";"10650";"2015JJ00";"    73.1"
"64";"10660";"2008JJ00";"    79.5"
"65";"10660";"2009JJ00";"    80.2"
"66";"10660";"2010JJ00";"    81.1"
"67";"10660";"2011JJ00";"    81.0"
"68";"10660";"2012JJ00";"    82.3"
"69";"10660";"2013JJ00";"    83.4"
"70";"10660";"2014JJ00";"    83.7"
"71";"10660";"2015JJ00";"    84.0"
"72";"10670";"2008JJ00";"    80.3"
"73";"10670";"2009JJ00";"    80.6"
"74";"10670";"2010JJ00";"    81.9"
"75";"10670";"2011JJ00";"    82.0"
"76";"10670";"2012JJ00";"    82.7"
"77";"10670";"2013JJ00";"    83.9"
"78";"10670";"2014JJ00";"    84.4"
"79";"10670";"2015JJ00";"    84.3"
"80";"10600";"2008JJ00";"    88.1"
"81";"10600";"2009JJ00";"    87.7"
