"ID";"BedrijfstakkenBranchesSBI2008";"Perioden";"BeloningsverschilTussenManEnVrouw_1"
"0";"300025";"2008JJ00";"    79.9"
"1";"300025";"2009JJ00";"    80.2"
"2";"300025";"2010JJ00";"    81.4"
"3";"300025";"2011JJ00";"    81.5"
"4";"300025";"2012JJ00";"    82.3"
"5";"300025";"2013JJ00";"    83.4"
"6";"300025";"2014JJ00";"    83.9"
"7";"300025";"2015JJ00";"    84.0"
"8";"300035";"2008JJ00";"    77.7"
"9";"300035";"2009JJ00";"    78.3"
"10";"300035";"2010JJ00";"    78.8"
"11";"300035";"2011JJ00";"    79.0"
"12";"300035";"2012JJ00";"    80.0"
"13";"300035";"2013JJ00";"    80.8"
"14";"300035";"2014JJ00";"    80.9"
"15";"300035";"2015JJ00";"    81.3"
"16";"301000";"2008JJ00";"    78.1"
"17";"301000";"2009JJ00";"    78.7"
"18";"301000";"2010JJ00";"    79.1"
"19";"301000";"2011JJ00";"    79.2"
"20";"301000";"2012JJ00";"    79.6"
"21";"301000";"2013JJ00";"    80.6"
"22";"301000";"2014JJ00";"    80.1"
"23";"301000";"2015JJ00";"    81.3"
"24";"300003";"2008JJ00";"    78.9"
"25";"300003";"2009JJ00";"    79.6"
"26";"300003";"2010JJ00";"    80.0"
"27";"300003";"2011JJ00";"    80.3"
"28";"300003";"2012JJ00";"    81.4"
"29";"300003";"2013JJ00";"    82.2"
"30";"300003";"2014JJ00";"    82.4"
"31";"300003";"2015JJ00";"    82.7"
"32";"300002";"2008JJ00";"    78.2"
"33";"300002";"2009JJ00";"    79.1"
"34";"300002";"2010JJ00";"    79.4"
"35";"300002";"2011JJ00";"    79.5"
"36";"300002";"2012JJ00";"    80.4"
"37";"300002";"2013JJ00";"    81.1"
"38";"300002";"2014JJ00";"    81.2"
"39";"300002";"2015JJ00";"    81.1"
"40";"305700";"2008JJ00";"    71.3"
"41";"305700";"2009JJ00";"    74.7"
"42";"305700";"2010JJ00";"    72.5"
"43";"305700";"2011JJ00";"    75.1"
"44";"305700";"2012JJ00";"    74.4"
"45";"305700";"2013JJ00";"    81.5"
"46";"305700";"2014JJ00";"    81.9"
"47";"305700";"2015JJ00";"    81.6"
"48";"307500";"2008JJ00";"    77.7"
"49";"307500";"2009JJ00";"    78.4"
"50";"307500";"2010JJ00";"    78.7"
"51";"307500";"2011JJ00";"    78.8"
"52";"307500";"2012JJ00";"    79.5"
"53";"307500";"2013JJ00";"    80.4"
"54";"307500";"2014JJ00";"    80.4"
"55";"307500";"2015JJ00";"    80.3"
"56";"346600";"2008JJ00";"    75.5"
"57";"346600";"2009JJ00";"    75.6"
"58";"346600";"2010JJ00";"    77.0"
"59";"346600";"2011JJ00";"    77.4"
"60";"346600";"2012JJ00";"    79.8"
